duration,contact,housing,pdays,previous,campaign,poutcome,loan,education,balance,marital,job,day,default,month,age,deposit
1042,2,1,-1,0,1,3,0,1,2343,1,0,5,0,8,59,1
1467,2,0,-1,0,1,3,0,1,45,1,0,5,0,8,56,1
1389,2,1,-1,0,1,3,0,1,1270,1,9,5,0,8,41,1
579,2,1,-1,0,1,3,0,1,2476,1,7,5,0,8,55,1
673,2,0,-1,0,2,3,0,2,184,1,0,5,0,8,54,1
562,2,1,-1,0,2,3,1,2,0,2,4,5,0,8,42,1
1201,2,1,-1,0,1,3,1,2,830,1,4,6,0,8,56,1
1030,2,1,-1,0,1,3,0,1,545,0,5,6,0,8,60,1
608,2,1,-1,0,1,3,0,1,1,1,9,6,0,8,37,1
1297,2,1,-1,0,3,3,0,1,5090,2,7,6,0,8,28,1
786,2,1,-1,0,1,3,0,1,100,2,0,7,0,8,38,1
1574,2,1,-1,0,2,3,0,1,309,1,1,7,0,8,30,1
1689,2,1,-1,0,4,3,1,2,199,1,4,7,0,8,29,1
1102,2,1,-1,0,2,3,0,2,460,2,1,7,0,8,46,1
943,2,1,-1,0,2,3,0,2,703,2,9,8,0,8,31,1
1084,2,1,-1,0,1,3,0,2,3837,0,4,8,0,8,35,1
541,2,1,-1,0,3,3,0,0,611,2,1,8,0,8,32,1
1119,2,1,-1,0,1,3,0,1,-8,1,7,8,0,8,49,1
1120,2,1,-1,0,2,3,0,1,55,1,0,8,0,8,41,1
513,2,1,-1,0,1,3,1,1,168,0,0,8,0,8,49,1
442,2,1,-1,0,2,3,0,1,785,0,0,8,0,8,28,1
756,2,1,-1,0,1,3,0,2,2067,2,4,8,0,8,43,1
2087,2,1,-1,0,2,3,0,2,388,0,4,8,0,8,43,1
1120,2,1,-1,0,2,3,0,0,-192,1,1,8,0,8,43,1
985,2,1,-1,0,2,3,0,1,381,2,10,8,0,8,37,1
617,2,1,-1,0,4,3,0,1,40,2,1,9,0,8,35,1
483,2,1,-1,0,3,3,0,2,22,2,9,9,0,8,31,1
929,2,1,-1,0,3,3,0,1,3,2,1,9,0,8,43,1
538,2,1,-1,0,1,3,0,1,307,1,0,9,0,8,31,1
710,2,1,-1,0,1,3,0,1,759,2,1,9,0,8,28,1
653,2,1,-1,0,1,3,0,1,-1,1,1,9,1,8,32,1
1028,2,1,-1,0,2,3,0,0,65,1,9,9,0,8,60,1
654,2,1,-1,0,1,3,0,1,82,2,1,9,0,8,26,1
1692,2,1,-1,0,2,3,0,1,10,1,1,9,0,8,40,1
665,2,1,-1,0,2,3,0,0,390,0,1,9,0,8,33,1
757,2,0,-1,0,2,3,0,2,311,2,4,12,0,8,32,1
504,2,0,-1,0,4,3,0,0,414,1,1,13,0,8,35,1
1346,2,1,-1,0,1,3,0,1,5,0,4,13,0,8,33,1
568,2,1,-1,0,4,3,0,2,119,1,4,13,0,8,38,1
395,2,1,-1,0,2,3,0,0,4,2,2,13,0,8,23,1
1015,2,1,-1,0,1,3,1,0,1262,1,1,13,0,8,60,1
683,2,1,-1,0,2,3,0,2,1949,1,4,13,0,8,48,1
470,2,1,-1,0,1,3,0,2,-395,0,2,13,0,8,45,1
1001,2,1,-1,0,4,3,0,1,1165,1,1,13,0,8,36,1
845,2,1,-1,0,1,3,0,3,2240,1,4,13,0,8,52,1
945,2,1,-1,0,2,3,0,0,300,0,1,13,0,8,35,1
1721,2,1,-1,0,2,3,0,1,3285,1,9,13,0,8,43,1
942,2,1,-1,0,3,3,0,1,3923,1,3,14,0,8,52,1
476,2,1,-1,0,1,3,0,0,1443,0,9,14,0,8,53,1
832,2,1,-1,0,1,3,0,0,24,0,1,14,0,8,48,1
1553,2,1,-1,0,1,3,0,0,1618,2,1,14,0,8,41,1
1328,2,1,-1,0,1,3,1,2,517,0,4,14,0,8,39,1
1125,2,1,-1,0,2,3,1,1,1521,1,5,14,0,8,59,1
858,2,1,-1,0,1,3,0,1,2823,1,1,14,0,8,41,1
629,2,1,-1,0,2,3,0,1,1405,1,1,14,0,8,48,1
704,2,1,-1,0,1,3,0,1,1535,1,0,14,0,8,40,1
760,2,1,-1,0,1,3,0,1,1596,1,1,14,0,8,48,1
930,2,1,-1,0,1,3,0,0,1542,1,5,14,0,8,60,1
1028,2,1,-1,0,2,3,0,3,3652,2,9,14,0,8,40,1
850,2,0,-1,0,2,3,0,2,-1,1,9,14,0,8,57,1
927,2,1,-1,0,1,3,0,1,7180,1,1,14,0,8,51,1
1423,2,1,-1,0,3,3,0,1,5291,0,1,14,0,8,41,1
1162,2,1,-1,0,4,3,0,1,1384,1,1,15,0,8,41,1
755,2,1,-1,0,1,3,0,0,-191,0,1,15,0,8,52,1
695,2,1,-1,0,1,3,0,0,320,1,1,15,0,8,59,1
483,2,1,-1,0,1,3,0,3,146,1,1,15,0,8,44,1
520,2,1,-1,0,2,3,1,0,341,1,11,15,0,8,49,1
920,2,1,-1,0,2,3,0,0,-9,1,7,15,0,8,40,1
500,2,1,-1,0,1,3,0,0,-306,1,0,15,0,8,41,1
911,2,1,-1,0,2,3,0,2,4580,1,9,15,0,8,44,1
920,2,1,-1,0,2,3,0,0,313,2,7,15,0,8,60,1
1224,2,0,-1,0,2,3,0,2,10576,1,4,15,0,8,29,1
1156,2,1,-1,0,2,3,0,0,-233,0,5,15,0,8,41,1
1052,2,1,-1,0,1,3,0,0,2453,1,1,15,0,8,41,1
1867,2,1,-1,0,6,3,0,1,1364,2,9,15,0,8,42,1
515,2,1,-1,0,1,3,0,3,281,2,7,16,0,8,36,1
813,2,1,-1,0,1,3,1,2,94,1,9,16,0,8,39,1
676,2,1,-1,0,1,3,0,2,144,2,6,16,0,8,31,1
1143,2,1,-1,0,3,3,0,1,246,1,1,16,0,8,26,1
688,2,1,-1,0,1,3,0,1,92,1,1,16,0,8,31,1
803,2,1,-1,0,1,3,1,1,163,2,0,16,0,8,29,1
619,2,1,-1,0,2,3,0,1,49,0,7,16,0,8,37,1
767,2,1,-1,0,2,3,0,1,-416,2,1,16,0,8,33,1
912,2,1,-1,0,1,3,0,1,409,2,9,16,0,8,24,1
1340,2,1,-1,0,1,3,0,1,363,0,0,16,0,8,50,1
897,2,1,-1,0,1,3,0,2,3706,2,9,16,0,8,27,1
1297,2,1,-1,0,3,3,0,2,4393,2,4,16,0,8,54,1
1193,2,1,-1,0,5,3,0,1,863,2,9,16,0,8,30,1
1064,2,1,-1,0,4,3,1,0,695,1,1,16,0,8,34,1
1187,2,1,-1,0,4,3,0,1,792,2,4,16,0,8,37,1
882,2,1,-1,0,1,3,0,1,1020,2,0,19,0,8,41,1
943,2,1,-1,0,2,3,0,1,863,1,1,19,0,8,47,1
607,2,1,-1,0,1,3,0,1,97,1,0,19,0,8,31,1
1022,2,1,-1,0,4,3,0,1,754,1,1,19,0,8,31,1
552,2,1,-1,0,3,3,0,1,1040,0,7,19,0,8,43,1
1622,2,1,-1,0,2,3,0,2,122,0,4,19,0,8,37,1
967,2,1,-1,0,6,3,1,2,880,2,9,19,0,8,30,1
579,2,1,-1,0,5,3,0,1,501,1,9,19,0,8,41,1
446,2,1,-1,0,1,3,0,1,4438,1,1,20,0,8,36,1
1205,2,1,-1,0,1,3,0,1,0,0,1,20,0,8,35,1
1882,2,1,-1,0,2,3,0,1,271,2,7,20,0,8,29,1
1334,2,1,-1,0,1,3,0,0,102,1,1,20,0,8,35,1
182,2,1,-1,0,2,3,0,1,2,1,1,20,0,8,31,1
1777,2,1,-1,0,1,3,0,1,4170,1,7,20,0,8,35,1
1182,2,1,-1,0,4,3,0,1,85,2,9,20,0,8,34,1
1045,2,1,-1,0,1,3,1,1,431,2,0,20,0,8,31,1
650,2,1,-1,0,3,3,0,1,982,0,9,20,0,8,44,1
1063,2,1,-1,0,2,3,1,0,408,1,1,20,0,8,36,1
843,2,1,-1,0,2,3,0,3,4822,1,1,20,0,8,35,1
1392,2,1,-1,0,2,3,0,0,1250,1,1,20,0,8,41,1
565,2,1,-1,0,1,3,0,0,216,2,1,21,0,8,31,1
905,2,1,-1,0,1,3,0,1,1207,1,1,21,0,8,34,1
783,2,1,-1,0,2,3,0,1,791,1,9,21,0,8,32,1
958,2,1,-1,0,2,3,1,2,849,1,4,21,0,8,36,1
412,2,1,-1,0,1,3,0,1,239,2,1,21,1,8,30,1
795,2,1,-1,0,1,3,0,1,1211,2,9,21,0,8,37,1
649,2,1,-1,0,2,3,0,0,599,1,1,21,0,8,36,1
506,2,1,-1,0,2,3,0,2,825,2,4,21,0,8,31,1
857,2,1,-1,0,1,3,1,1,2183,1,9,21,0,8,27,1
1681,2,0,-1,0,1,3,0,0,4499,1,5,21,0,8,34,1
1697,2,1,-1,0,2,3,0,2,1289,2,9,21,0,8,30,1
860,2,1,-1,0,2,3,0,2,4665,2,9,21,0,8,32,1
799,2,1,-1,0,1,3,0,1,3326,2,9,21,0,8,37,1
923,2,1,-1,0,3,3,0,1,783,1,1,21,0,8,32,1
521,2,1,-1,0,3,3,0,1,0,1,1,21,0,8,33,1
1349,2,1,-1,0,8,3,0,0,994,1,1,23,0,8,35,1
736,2,1,-1,0,2,3,0,2,1354,0,6,23,0,8,35,1
785,2,1,-1,0,1,3,0,1,239,2,1,23,0,8,30,1
1030,2,1,-1,0,1,3,0,0,-311,0,1,23,0,8,45,1
893,2,1,-1,0,3,3,0,1,149,1,0,23,0,8,45,1
588,2,1,-1,0,3,3,0,1,1464,1,1,23,0,8,33,1
597,2,0,-1,0,6,3,0,2,5773,0,4,23,0,8,44,1
1015,2,1,-1,0,3,3,0,0,278,1,1,23,0,8,40,1
1392,2,1,-1,0,2,3,0,1,2910,1,1,23,0,8,31,1
414,2,1,-1,0,2,3,0,2,541,1,9,26,0,8,30,1
788,2,1,-1,0,11,3,0,1,1262,0,9,26,0,8,44,1
682,2,1,-1,0,1,3,0,1,-538,1,7,26,0,8,34,1
679,2,0,-1,0,2,3,0,1,125,1,1,26,0,8,37,1
1560,2,1,-1,0,2,3,0,2,0,2,6,26,0,8,28,1
1234,2,1,-1,0,3,3,0,1,620,2,0,26,0,8,32,1
642,2,1,-1,0,2,3,0,1,316,0,1,26,0,8,37,1
895,2,1,-1,0,4,3,0,2,2287,1,4,26,0,8,34,1
431,2,1,-1,0,2,3,0,1,198,0,0,26,0,8,38,1
741,2,1,-1,0,6,3,0,1,460,2,0,26,0,8,28,1
1272,2,1,-1,0,4,3,0,2,1145,0,4,26,0,8,31,1
748,2,1,-1,0,3,3,0,1,-22,1,7,26,0,8,59,1
896,2,1,-1,0,3,3,0,1,685,1,1,26,0,8,24,1
764,2,1,-1,0,2,3,0,1,901,2,7,26,0,8,26,1
1063,2,1,-1,0,5,3,0,1,351,2,5,27,0,8,59,1
1051,2,1,-1,0,1,3,1,0,0,2,2,27,0,8,30,1
731,2,1,-1,0,3,3,0,1,274,1,0,27,0,8,37,1
751,2,1,-1,0,1,3,1,1,-213,2,0,27,0,8,30,1
709,2,1,-1,0,1,3,0,1,97,1,1,27,0,8,25,1
3094,2,1,-1,0,2,3,1,1,51,0,7,27,0,8,44,1
938,2,0,-1,0,2,3,0,2,314,1,4,28,0,8,29,1
1560,2,1,-1,0,2,3,0,2,6840,2,4,28,0,8,26,1
576,2,1,-1,0,3,3,0,1,668,2,9,28,0,8,26,1
