age,job,balance,contact,day,month,duration,pdays,deposit
59,0,2343,2,5,8,1042,-1,1
56,0,45,2,5,8,1467,-1,1
41,9,1270,2,5,8,1389,-1,1
55,7,2476,2,5,8,579,-1,1
54,0,184,2,5,8,673,-1,1
42,4,0,2,5,8,562,-1,1
56,4,830,2,6,8,1201,-1,1
60,5,545,2,6,8,1030,-1,1
37,9,1,2,6,8,608,-1,1
28,7,5090,2,6,8,1297,-1,1
38,0,100,2,7,8,786,-1,1
30,1,309,2,7,8,1574,-1,1
29,4,199,2,7,8,1689,-1,1
46,1,460,2,7,8,1102,-1,1
31,9,703,2,8,8,943,-1,1
35,4,3837,2,8,8,1084,-1,1
32,1,611,2,8,8,541,-1,1
49,7,-8,2,8,8,1119,-1,1
41,0,55,2,8,8,1120,-1,1
49,0,168,2,8,8,513,-1,1
28,0,785,2,8,8,442,-1,1
43,4,2067,2,8,8,756,-1,1
43,4,388,2,8,8,2087,-1,1
43,1,-192,2,8,8,1120,-1,1
37,10,381,2,8,8,985,-1,1
35,1,40,2,9,8,617,-1,1
31,9,22,2,9,8,483,-1,1
43,1,3,2,9,8,929,-1,1
31,0,307,2,9,8,538,-1,1
28,1,759,2,9,8,710,-1,1
32,1,-1,2,9,8,653,-1,1
60,9,65,2,9,8,1028,-1,1
26,1,82,2,9,8,654,-1,1
40,1,10,2,9,8,1692,-1,1
33,1,390,2,9,8,665,-1,1
32,4,311,2,12,8,757,-1,1
35,1,414,2,13,8,504,-1,1
33,4,5,2,13,8,1346,-1,1
38,4,119,2,13,8,568,-1,1
23,2,4,2,13,8,395,-1,1
60,1,1262,2,13,8,1015,-1,1
48,4,1949,2,13,8,683,-1,1
45,2,-395,2,13,8,470,-1,1
36,1,1165,2,13,8,1001,-1,1
52,4,2240,2,13,8,845,-1,1
35,1,300,2,13,8,945,-1,1
43,9,3285,2,13,8,1721,-1,1
52,3,3923,2,14,8,942,-1,1
53,9,1443,2,14,8,476,-1,1
48,1,24,2,14,8,832,-1,1
41,1,1618,2,14,8,1553,-1,1
39,4,517,2,14,8,1328,-1,1
59,5,1521,2,14,8,1125,-1,1
41,1,2823,2,14,8,858,-1,1
48,1,1405,2,14,8,629,-1,1
40,0,1535,2,14,8,704,-1,1
48,1,1596,2,14,8,760,-1,1
60,5,1542,2,14,8,930,-1,1
40,9,3652,2,14,8,1028,-1,1
57,9,-1,2,14,8,850,-1,1
51,1,7180,2,14,8,927,-1,1
41,1,5291,2,14,8,1423,-1,1
41,1,1384,2,15,8,1162,-1,1
52,1,-191,2,15,8,755,-1,1
59,1,320,2,15,8,695,-1,1
44,1,146,2,15,8,483,-1,1
49,11,341,2,15,8,520,-1,1
40,7,-9,2,15,8,920,-1,1
41,0,-306,2,15,8,500,-1,1
44,9,4580,2,15,8,911,-1,1
60,7,313,2,15,8,920,-1,1
29,4,10576,2,15,8,1224,-1,1
41,5,-233,2,15,8,1156,-1,1
41,1,2453,2,15,8,1052,-1,1
42,9,1364,2,15,8,1867,-1,1
36,7,281,2,16,8,515,-1,1
39,9,94,2,16,8,813,-1,1
31,6,144,2,16,8,676,-1,1
26,1,246,2,16,8,1143,-1,1
31,1,92,2,16,8,688,-1,1
