wip,over_time,smv,quarter,incentive,idle_men,no_of_workers,team,targeted_productivity,no_of_style_change,department,idle_time,actual_productivity
1108,7080,26.16,1,98,0,59,8,0.8,0,1,0,0.940725424
,960,3.94,1,0,0,8,1,0.75,0,2,0,0.8865
968,3660,11.41,1,50,0,30.5,11,0.8,0,1,0,0.800570492
968,3660,11.41,1,50,0,30.5,12,0.8,0,1,0,0.800570492
1170,1920,25.9,1,50,0,56,6,0.8,0,1,0,0.800381944
984,6720,25.9,1,38,0,56,7,0.8,0,1,0,0.800125
,960,3.94,1,0,0,8,2,0.75,0,2,0,0.755166667
795,6900,28.08,1,45,0,57.5,3,0.75,0,1,0,0.753683478
733,6000,19.87,1,34,0,55,2,0.75,0,1,0,0.753097531
681,6900,28.08,1,45,0,57.5,1,0.75,0,1,0,0.750427826
872,6900,28.08,1,44,0,57.5,9,0.7,0,1,0,0.721126957
578,6480,19.31,1,45,0,54,10,0.75,0,1,0,0.712205247
668,3660,11.41,1,50,0,30.5,5,0.8,0,1,0,0.707045902
,960,3.94,1,0,0,8,10,0.65,0,2,0,0.705916667
,960,2.9,1,0,0,8,8,0.75,0,2,0,0.676666667
,2160,3.94,1,0,0,18,4,0.75,0,2,0,0.593055556
,960,2.9,1,0,0,8,7,0.8,0,2,0,0.540729167
861,7200,23.69,1,0,0,60,4,0.65,0,1,0,0.52118
,1440,4.15,1,0,0,12,11,0.7,0,2,0,0.436326389
,6600,4.15,1,0,0,20,4,0.8,0,2,0,0.988024691
,5640,2.9,1,0,0,17,11,0.75,0,2,0,0.987880435
,960,4.15,1,0,0,8,9,0.8,0,2,0,0.956270833
,1560,3.94,1,0,0,8,3,0.75,0,2,0,0.945277778
,960,3.94,1,0,0,8,1,0.8,0,2,0,0.902916667
772,6300,28.08,1,50,0,56.5,1,0.8,0,1,0,0.800725314
913,6540,28.08,1,50,0,54.5,3,0.8,0,1,0,0.800322936
1261,7080,26.16,1,50,0,59,8,0.8,0,1,0,0.800318644
844,7080,26.16,1,63,0,59,12,0.8,0,1,0,0.800318644
1005,7080,11.61,1,50,0,29.5,11,0.8,0,1,0,0.800237288
659,7080,11.61,1,50,0,31.5,5,0.8,0,1,0,0.800148649
1152,6720,25.9,1,50,0,56,6,0.8,0,1,0,0.800125
1138,6720,25.9,1,38,0,56,7,0.8,0,1,0,0.800125
610,6480,19.31,1,56,0,54,10,0.75,0,1,0,0.787299691
,960,4.15,1,0,0,8,2,0.8,0,2,0,0.782447917
944,6600,19.87,1,45,0,55,2,0.75,0,1,0,0.75024303
,960,4.15,1,0,0,8,10,0.7,0,2,0,0.7018125
544,13800,23.69,1,0,0,60,4,0.7,0,1,0,0.700134038
1072,6900,28.08,1,40,0,57.5,9,0.7,0,1,0,0.699965217
,960,2.9,1,0,0,8,8,0.8,0,2,0,0.628333333
