incentive,smv,no_of_workers,over_time,targeted_productivity,actual_productivity
98,26.16,59,7080,0.8,0.940725424
0,3.94,8,960,0.75,0.8865
50,11.41,30.5,3660,0.8,0.800570492
50,11.41,30.5,3660,0.8,0.800570492
50,25.9,56,1920,0.8,0.800381944
38,25.9,56,6720,0.8,0.800125
0,3.94,8,960,0.75,0.755166667
45,28.08,57.5,6900,0.75,0.753683478
34,19.87,55,6000,0.75,0.753097531
45,28.08,57.5,6900,0.75,0.750427826
44,28.08,57.5,6900,0.7,0.721126957
45,19.31,54,6480,0.75,0.712205247
50,11.41,30.5,3660,0.8,0.707045902
0,3.94,8,960,0.65,0.705916667
0,2.9,8,960,0.75,0.676666667
0,3.94,18,2160,0.75,0.593055556
0,2.9,8,960,0.8,0.540729167
0,23.69,60,7200,0.65,0.52118
0,4.15,12,1440,0.7,0.436326389
0,4.15,20,6600,0.8,0.988024691
0,2.9,17,5640,0.75,0.987880435
0,4.15,8,960,0.8,0.956270833
0,3.94,8,1560,0.75,0.945277778
0,3.94,8,960,0.8,0.902916667
50,28.08,56.5,6300,0.8,0.800725314
50,28.08,54.5,6540,0.8,0.800322936
50,26.16,59,7080,0.8,0.800318644
63,26.16,59,7080,0.8,0.800318644
50,11.61,29.5,7080,0.8,0.800237288
50,11.61,31.5,7080,0.8,0.800148649
50,25.9,56,6720,0.8,0.800125
38,25.9,56,6720,0.8,0.800125
56,19.31,54,6480,0.75,0.787299691
0,4.15,8,960,0.8,0.782447917
45,19.87,55,6600,0.75,0.75024303
0,4.15,8,960,0.7,0.7018125
0,23.69,60,13800,0.7,0.700134038
40,28.08,57.5,6900,0.7,0.699965217
0,2.9,8,960,0.8,0.628333333
0,3.94,8,960,0.8,0.6253125
0,4.15,8,1560,0.75,0.991388889
0,3.94,8,960,0.8,0.931645833
0,3.94,8,960,0.8,0.915229167
50,11.61,31,6975,0.8,0.879714482
0,3.94,20,6600,0.8,0.861679012
60,26.16,59,7080,0.8,0.850569492
60,25.9,56.5,7020,0.8,0.850436438
45,25.9,56.5,6780,0.8,0.850345133
50,28.08,55.5,4260,0.8,0.800598058
63,26.16,59,7080,0.8,0.800318644
50,28.08,55.5,6660,0.8,0.800237838
50,11.61,31,6975,0.8,0.800030199
0,3.94,8,960,0.8,0.792104167
0,3.94,18,4320,0.7,0.759228395
45,19.31,54,6480,0.75,0.750348457
45,19.87,55,6600,0.75,0.75024303
40,28.08,57.5,6900,0.7,0.699965217
0,2.9,8,960,0.8,0.682708333
0,2.9,8,960,0.8,0.667604167
26,45.67,58,6960,0.7,0.603432184
0,4.15,8,960,0.75,0.345833333
0,3.94,8,1920,0.8,0.961059028
0,3.94,10,2400,0.8,0.939513889
0,3.94,16,3840,0.8,0.893663194
0,4.15,8,1920,0.75,0.875390625
75,26.16,59,7080,0.8,0.850569492
0,2.9,8,1920,0.8,0.820833333
0,3.94,8,960,0.8,0.804416667
50,25.9,56.5,6780,0.8,0.800684366
38,25.9,56.5,6780,0.8,0.800684366
63,26.16,59,7080,0.8,0.800318644
50,19.31,55,4800,0.8,0.800250962
50,11.61,32,7200,0.8,0.800246011
50,11.61,32,7200,0.8,0.800246011
50,28.08,57.5,6900,0.8,0.800076522
50,28.08,57.5,6900,0.8,0.800076522
0,2.9,8,960,0.75,0.763375
