department,team,targeted_productivity,idle_men,no_of_style_change,actual_productivity
1,8,0.8,0,0,0.940725424
2,1,0.75,0,0,0.8865
1,11,0.8,0,0,0.800570492
1,12,0.8,0,0,0.800570492
1,6,0.8,0,0,0.800381944
1,7,0.8,0,0,0.800125
2,2,0.75,0,0,0.755166667
1,3,0.75,0,0,0.753683478
1,2,0.75,0,0,0.753097531
1,1,0.75,0,0,0.750427826
1,9,0.7,0,0,0.721126957
1,10,0.75,0,0,0.712205247
1,5,0.8,0,0,0.707045902
2,10,0.65,0,0,0.705916667
2,8,0.75,0,0,0.676666667
2,4,0.75,0,0,0.593055556
2,7,0.8,0,0,0.540729167
1,4,0.65,0,0,0.52118
2,11,0.7,0,0,0.436326389
2,4,0.8,0,0,0.988024691
2,11,0.75,0,0,0.987880435
2,9,0.8,0,0,0.956270833
2,3,0.75,0,0,0.945277778
2,1,0.8,0,0,0.902916667
1,1,0.8,0,0,0.800725314
1,3,0.8,0,0,0.800322936
1,8,0.8,0,0,0.800318644
1,12,0.8,0,0,0.800318644
1,11,0.8,0,0,0.800237288
1,5,0.8,0,0,0.800148649
1,6,0.8,0,0,0.800125
1,7,0.8,0,0,0.800125
1,10,0.75,0,0,0.787299691
2,2,0.8,0,0,0.782447917
1,2,0.75,0,0,0.75024303
2,10,0.7,0,0,0.7018125
1,4,0.7,0,0,0.700134038
1,9,0.7,0,0,0.699965217
2,8,0.8,0,0,0.628333333
2,7,0.8,0,0,0.6253125
2,3,0.75,0,0,0.991388889
2,9,0.8,0,0,0.931645833
2,1,0.8,0,0,0.915229167
1,6,0.8,0,0,0.879714482
2,4,0.8,0,0,0.861679012
1,9,0.8,0,0,0.850569492
1,7,0.8,0,0,0.850436438
1,8,0.8,0,0,0.850345133
1,4,0.8,0,0,0.800598058
1,1,0.8,0,0,0.800318644
1,2,0.8,0,0,0.800237838
1,12,0.8,0,0,0.800030199
2,2,0.8,0,0,0.792104167
2,10,0.7,0,0,0.759228395
1,11,0.75,0,0,0.750348457
1,3,0.75,0,0,0.75024303
1,10,0.7,0,0,0.699965217
2,8,0.8,0,0,0.682708333
2,7,0.8,0,0,0.667604167
1,5,0.7,0,0,0.603432184
2,11,0.75,0,0,0.345833333
2,1,0.8,0,0,0.961059028
2,11,0.8,0,0,0.939513889
