team,targeted_productivity,smv,idle_men,no_of_style_change,actual_productivity
8,0.8,26.16,0,0,0.940725424
1,0.75,3.94,0,0,0.8865
11,0.8,11.41,0,0,0.800570492
12,0.8,11.41,0,0,0.800570492
6,0.8,25.9,0,0,0.800381944
7,0.8,25.9,0,0,0.800125
2,0.75,3.94,0,0,0.755166667
3,0.75,28.08,0,0,0.753683478
2,0.75,19.87,0,0,0.753097531
1,0.75,28.08,0,0,0.750427826
9,0.7,28.08,0,0,0.721126957
10,0.75,19.31,0,0,0.712205247
5,0.8,11.41,0,0,0.707045902
10,0.65,3.94,0,0,0.705916667
8,0.75,2.9,0,0,0.676666667
4,0.75,3.94,0,0,0.593055556
7,0.8,2.9,0,0,0.540729167
4,0.65,23.69,0,0,0.52118
11,0.7,4.15,0,0,0.436326389
4,0.8,4.15,0,0,0.988024691
11,0.75,2.9,0,0,0.987880435
9,0.8,4.15,0,0,0.956270833
3,0.75,3.94,0,0,0.945277778
1,0.8,3.94,0,0,0.902916667
1,0.8,28.08,0,0,0.800725314
3,0.8,28.08,0,0,0.800322936
8,0.8,26.16,0,0,0.800318644
12,0.8,26.16,0,0,0.800318644
11,0.8,11.61,0,0,0.800237288
5,0.8,11.61,0,0,0.800148649
6,0.8,25.9,0,0,0.800125
7,0.8,25.9,0,0,0.800125
10,0.75,19.31,0,0,0.787299691
2,0.8,4.15,0,0,0.782447917
2,0.75,19.87,0,0,0.75024303
10,0.7,4.15,0,0,0.7018125
4,0.7,23.69,0,0,0.700134038
9,0.7,28.08,0,0,0.699965217
8,0.8,2.9,0,0,0.628333333
7,0.8,3.94,0,0,0.6253125
3,0.75,4.15,0,0,0.991388889
9,0.8,3.94,0,0,0.931645833
1,0.8,3.94,0,0,0.915229167
6,0.8,11.61,0,0,0.879714482
4,0.8,3.94,0,0,0.861679012
9,0.8,26.16,0,0,0.850569492
7,0.8,25.9,0,0,0.850436438
8,0.8,25.9,0,0,0.850345133
4,0.8,28.08,0,0,0.800598058
1,0.8,26.16,0,0,0.800318644
2,0.8,28.08,0,0,0.800237838
12,0.8,11.61,0,0,0.800030199
2,0.8,3.94,0,0,0.792104167
10,0.7,3.94,0,0,0.759228395
11,0.75,19.31,0,0,0.750348457
