wip,over_time,incentive,idle_time,idle_men,actual_productivity
1108,7080,98,0,0,0.940725424
,960,0,0,0,0.8865
968,3660,50,0,0,0.800570492
968,3660,50,0,0,0.800570492
1170,1920,50,0,0,0.800381944
984,6720,38,0,0,0.800125
,960,0,0,0,0.755166667
795,6900,45,0,0,0.753683478
733,6000,34,0,0,0.753097531
681,6900,45,0,0,0.750427826
872,6900,44,0,0,0.721126957
578,6480,45,0,0,0.712205247
668,3660,50,0,0,0.707045902
,960,0,0,0,0.705916667
,960,0,0,0,0.676666667
,2160,0,0,0,0.593055556
,960,0,0,0,0.540729167
861,7200,0,0,0,0.52118
,1440,0,0,0,0.436326389
,6600,0,0,0,0.988024691
,5640,0,0,0,0.987880435
,960,0,0,0,0.956270833
,1560,0,0,0,0.945277778
,960,0,0,0,0.902916667
772,6300,50,0,0,0.800725314
913,6540,50,0,0,0.800322936
1261,7080,50,0,0,0.800318644
844,7080,63,0,0,0.800318644
1005,7080,50,0,0,0.800237288
659,7080,50,0,0,0.800148649
1152,6720,50,0,0,0.800125
1138,6720,38,0,0,0.800125
610,6480,56,0,0,0.787299691
,960,0,0,0,0.782447917
944,6600,45,0,0,0.75024303
,960,0,0,0,0.7018125
544,13800,0,0,0,0.700134038
1072,6900,40,0,0,0.699965217
,960,0,0,0,0.628333333
,960,0,0,0,0.6253125
,1560,0,0,0,0.991388889
,960,0,0,0,0.931645833
,960,0,0,0,0.915229167
539,6975,50,0,0,0.879714482
,6600,0,0,0,0.861679012
1278,7080,60,0,0,0.850569492
1227,7020,60,0,0,0.850436438
1039,6780,45,0,0,0.850345133
878,4260,50,0,0,0.800598058
1033,7080,63,0,0,0.800318644
782,6660,50,0,0,0.800237838
1216,6975,50,0,0,0.800030199
,960,0,0,0,0.792104167
,4320,0,0,0,0.759228395
513,6480,45,0,0,0.750348457
734,6600,45,0,0,0.75024303
1202,6900,40,0,0,0.699965217
,960,0,0,0,0.682708333
,960,0,0,0,0.667604167
884,6960,26,0,0,0.603432184
,960,0,0,0,0.345833333
,1920,0,0,0,0.961059028
,2400,0,0,0,0.939513889
,3840,0,0,0,0.893663194
,1920,0,0,0,0.875390625
1227,7080,75,0,0,0.850569492
,1920,0,0,0,0.820833333
,960,0,0,0,0.804416667
1255,6780,50,0,0,0.800684366
1047,6780,38,0,0,0.800684366
1138,7080,63,0,0,0.800318644
678,4800,50,0,0,0.800250962
712,7200,50,0,0,0.800246011
1037,7200,50,0,0,0.800246011
757,6900,50,0,0,0.800076522
759,6900,50,0,0,0.800076522
,960,0,0,0,0.763375
,960,0,0,0,0.759270833
1083,7020,45,0,0,0.7504
944,6600,45,0,0,0.75024303
,960,0,0,0,0.676666667
,960,0,0,0,0.664583333
666,6960,23,0,0,0.600028736
,4440,0,0,0,0.966781346
,1440,0,0,0,0.936496212
,1800,0,0,0,0.899166667
,2700,0,0,0,0.888686869
,1440,0,0,0,0.858143939
1187,10620,75,0,0,0.850502311
1305,10620,75,0,0,0.850502311
,1440,0,0,0,0.809640152
,1440,0,0,0,0.805909091
716,10350,50,0,0,0.800594466
925,10350,50,0,0,0.800594466
963,9900,50,0,0,0.800273829
1101,5310,50,0,0,0.800140969
1035,10170,38,0,0,0.800128721
1083,10170,38,0,0,0.800128721
910,4470,38,0,0,0.80007657
1209,10530,45,0,0,0.750545455
590,9900,45,0,0,0.750057851
,1440,0,0,0,0.681060606
808,10440,35,0,0,0.649983281
,1440,0,0,0,0.61625
,1440,0,0,0,0.951420455
,1440,0,0,0,0.880530303
1179,10620,75,0,0,0.850502311
1324,10620,75,0,0,0.850502311
1135,10170,60,0,0,0.850136766
,2700,0,0,0,0.83
,4440,0,0,0,0.827186544
,1440,0,0,0,0.813371212
,1440,0,0,0,0.805909091
,1440,0,0,0,0.804640152
776,10350,63,0,0,0.800594466
990,10350,50,0,0,0.800594466
986,5490,50,0,0,0.800343766
924,9900,50,0,0,0.800273829
1120,5670,50,0,0,0.800246753
1066,10170,50,0,0,0.800128721
1144,10530,69,0,0,0.8
413,9720,40,0,0,0.700480831
,1440,0,0,0,0.681060606
,1800,0,0,0,0.666515152
568,9900,40,0,0,0.412119835
,1440,0,0,0,0.330113636
,1440,0,0,0,0.947689394
,12600,0,0,0,0.919905405
1216,10620,88,0,0,0.900215716
,1440,0,0,0,0.891723485
1189,10620,75,0,0,0.850502311
942,10530,75,0,0,0.850181818
1050,10170,60,0,0,0.850136766
1026,10170,60,0,0,0.850136766
,1440,0,0,0,0.835757576
,3840,0,0,0,0.821354167
783,10050,63,0,0,0.800497246
857,9900,50,0,0,0.800273829
548,15120,63,0,0,0.800107143
411,14640,50,0,0,0.800024932
1066,10530,69,0,0,0.8
,1440,0,0,0,0.779791667
,1440,0,0,0,0.735984848
,2160,0,0,0,0.712626263
,1440,0,0,0,0.681060606
,900,0,0,0,0.515606061
287,25920,38,0,0,0.349951389
724,10260,0,0,0,0.233705476
,2160,0,0,0,0.985
,2760,0,0,0,0.930340376
,6000,0,0,0,0.911589744
,1440,0,0,0,0.858143939
1122,10620,75,0,0,0.851174114
970,10170,60,0,0,0.850136766
1158,10170,60,0,0,0.850136766
,1440,0,0,0,0.846950758
,1440,0,0,0,0.817424242
,1440,0,0,0,0.817102273
660,10440,63,0,0,0.801028213
749,10350,63,0,0,0.800594466
893,4710,50,0,0,0.800346445
887,5490,50,0,0,0.800343766
1335,10620,63,0,0,0.800117103
1082,10530,63,0,0,0.8
1075,7080,45,0,0,0.750098351
749,9540,38,0,0,0.673245283
,1440,0,0,0,0.670075758
,1440,0,0,0,0.628882576
966,7680,0,0,0,0.388007813
,1440,0,0,0,0.337973485
,1440,0,0,0,0.93532197
,3600,0,0,0,0.925643939
1095,10620,88,0,0,0.900215716
,1440,0,0,0,0.873068182
,1440,0,0,0,0.858143939
1383,10620,75,0,0,0.850502311
1012,10170,45,0,0,0.850136766
1209,10170,60,0,0,0.850136766
,1440,0,0,0,0.828295455
,1440,0,0,0,0.820833333
887,5490,50,0,0,0.800343766
896,5670,50,0,0,0.800246753
805,10530,63,0,0,0.8
762,10530,38,0,0,0.8
1043,6420,0,0,0,0.690182815
,1440,0,0,0,0.668087121
,1440,0,0,0,0.653598485
,1440,0,0,0,0.609138258
831,9540,30,0,0,0.600229846
,1440,0,0,0,0.597348485
,1440,0,0,0,0.590435606
562,10440,0,0,0,0.473134796
1208,7980,0,0,0,0.452979626
,1440,0,0,0,0.955151515
,3240,0,0,0,0.942213805
,1800,0,0,0,0.905454545
,1440,0,0,0,0.880530303
,1440,0,0,0,0.858143939
1099,8220,75,0,0,0.850522167
1093,10620,75,0,0,0.850502311
1031,10170,60,0,0,0.850136766
1233,10170,60,0,0,0.850136766
,1440,0,0,0,0.817424242
,1440,0,0,0,0.809564394
941,9900,0,0,0,0.800273829
843,5670,50,0,0,0.800181818
760,4470,50,0,0,0.80007657
737,10530,63,0,0,0.8
,1440,0,0,0,0.725
381,6930,45,0,0,0.688557555
1141,8460,0,0,0,0.650040783
1004,9540,44,0,0,0.64998056
,1440,0,0,0,0.648106061
,1440,0,0,0,0.640577652
581,7350,0,0,0,0.35063299
,1440,0,0,0,0.24625
,2160,0,0,0,0.952020202
,1440,0,0,0,0.951420455
,5400,0,0,0,0.912766667
,1620,0,0,0,0.901262626
,1440,0,0,0,0.858143939
1073,10620,75,0,0,0.850502311
1156,10620,75,0,0,0.850502311
1211,10260,60,0,0,0.850252525
1126,10170,60,0,0,0.850136766
,1440,0,0,0,0.821354167
,1440,0,0,0,0.805909091
1004,5670,50,0,0,0.800246753
1063,5670,50,0,0,0.800246753
723,10530,50,0,0,0.8
465,9900,54,0,0,0.705576584
,1440,0,0,0,0.681060606
,1440,0,0,0,0.670075758
,1440,0,0,0,0.601278409
530,9540,37,0,0,0.582301029
1297,10440,0,0,0,0.526810345
783,10170,23,0,0,0.500380799
715,10170,23,0,0,0.35020649
,1980,0,0,0,0.934607438
,2700,0,0,0,0.908080808
1150,10170,70,0,0,0.900144811
,1440,0,0,0,0.891723485
,1440,0,0,0,0.864583333
,1440,0,0,0,0.858143939
1232,10620,75,0,0,0.850502311
1218,10170,60,0,0,0.850136766
,1440,0,0,0,0.837594697
,1440,0,0,0,0.820833333
1159,2970,50,0,0,0.800313433
972,5670,38,0,0,0.800246753
1092,10620,63,0,0,0.800117103
965,7320,0,0,0,0.700095563
,1440,0,0,0,0.667329545
816,5100,23,0,0,0.600369686
947,3390,23,0,0,0.499980334
838,7200,23,0,0,0.35003125
,1260,0,0,0,0.332359307
1086,4260,27,0,0,0.311207464
,1260,0,0,0,0.247316017
,3600,0,0,0,0.988636364
,3420,0,0,0,0.953110048
,1440,0,0,0,0.884261364
,1440,0,0,0,0.860653409
,1440,0,0,0,0.858143939
1160,10620,75,0,0,0.850502311
1177,8970,60,0,0,0.850415628
1281,10170,60,0,0,0.850136766
1369,10620,63,0,0,0.800117103
1084,4950,38,0,0,0.80003139
1216,4950,50,0,0,0.80003139
391,10440,0,0,0,0.700060345
,1440,0,0,0,0.689299242
1102,10170,30,0,0,0.660683293
872,10080,26,0,0,0.650130952
,1440,0,0,0,0.606912879
1076,10170,23,0,0,0.600291767
917,9900,30,0,0,0.500025069
1044,9810,23,0,0,0.499998888
,2700,0,0,0,0.98719697
,1800,0,0,0,0.980909091
,1440,0,0,0,0.974621212
,1440,0,0,0,0.884261364
,1800,0,0,0,0.82680303
1067,5490,63,0,0,0.800343766
1039,5670,63,0,0,0.800246753
1396,10170,50,0,0,0.800128721
1292,10170,50,0,0,0.800128721
171,10620,63,0,0,0.800117103
1128,10620,63,0,0,0.800117103
865,6570,23,0,0,0.77011398
825,10170,50,0,0,0.7005417
,1440,0,0,0,0.675568182
,1440,0,0,0,0.661837121
1163,9720,35,0,0,0.650198653
1140,10170,30,0,0,0.600291767
1027,10080,38,0,0,0.600273268
,900,0,0,0,0.465757576
1052,10440,21,0,0,0.452012539
,1260,0,0,0,0.313852814
,1440,0,0,0,0.852793561
,2160,0,0,0,0.838383838
,1800,0,0,0,0.804848485
1140,5490,63,0,0,0.800343766
624,10170,50,0,0,0.800128721
1288,10170,38,0,0,0.800128721
1381,3660,50,0,0,0.800015009
882,10170,50,0,0,0.7005417
1002,10080,40,0,0,0.700094156
,1440,0,0,0,0.692045455
585,5670,56,0,0,0.662255892
1138,10170,35,0,0,0.650416734
1140,10260,44,0,0,0.650299575
1025,10170,26,0,0,0.650243497
,1440,0,0,0,0.639867424
1031,10440,30,0,0,0.600062696
,1800,0,0,0,0.582045455
1381,10350,24,0,0,0.403242161
,1440,0,0,0,0.235795455
,5040,0,0,0,0.977272727
,1800,0,0,0,0.964106061
,1440,0,0,0,0.958901515
1028,4380,50,0,0,0.800358775
1380,3630,50,0,0,0.800162602
1196,10620,63,0,0,0.800117103
,1440,0,0,0,0.793844697
1006,10170,38,0,0,0.750517565
930,10260,63,0,0,0.750068049
1095,10170,50,0,0,0.750062751
938,10080,63,0,0,0.750057359
1484,10260,50,0,0,0.700170388
,1440,0,0,0,0.683806818
1255,8280,35,0,0,0.650066445
1040,10260,30,0,0,0.576460393
1492,10170,30,0,0,0.549969429
,1440,0,0,0,0.538399621
,1440,0,0,0,0.409545455
1111,6120,23,0,0,0.35021836
,1440,0,0,0,1.033570076
1047,5580,63,0,0,0.800261486
1434,10170,50,0,0,0.800128721
399,10620,63,0,0,0.800117103
983,10260,63,0,0,0.750068049
1108,10080,63,0,0,0.750057359
1134,8460,50,0,0,0.750037968
1363,10260,50,0,0,0.750031898
,1800,0,0,0,0.72830303
1501,10260,50,0,0,0.700170388
1352,10260,50,0,0,0.700063796
,1440,0,0,0,0.639867424
1352,3720,23,0,0,0.500290419
1450,10080,30,0,0,0.400332792
,2700,0,0,0,0.362666667
,6000,0,0,0,0.978525641
,5100,0,0,0,0.912202112
825,10080,94,0,0,0.900556277
916,5760,75,0,0,0.850410511
,2400,0,0,0,0.827147436
562,7470,38,0,0,0.800436542
1422,10500,60,0,0,0.800415742
1206,10080,75,0,0,0.800020563
