department,targeted_productivity,smv,over_time,incentive,idle_time,idle_men,no_of_style_change,actual_productivity
1,0.8,26.16,7080,98,0,0,0,0.940725424
2,0.75,3.94,960,0,0,0,0,0.8865
1,0.8,11.41,3660,50,0,0,0,0.800570492
1,0.8,11.41,3660,50,0,0,0,0.800570492
1,0.8,25.9,1920,50,0,0,0,0.800381944
1,0.8,25.9,6720,38,0,0,0,0.800125
2,0.75,3.94,960,0,0,0,0,0.755166667
1,0.75,28.08,6900,45,0,0,0,0.753683478
1,0.75,19.87,6000,34,0,0,0,0.753097531
1,0.75,28.08,6900,45,0,0,0,0.750427826
1,0.7,28.08,6900,44,0,0,0,0.721126957
1,0.75,19.31,6480,45,0,0,0,0.712205247
1,0.8,11.41,3660,50,0,0,0,0.707045902
2,0.65,3.94,960,0,0,0,0,0.705916667
2,0.75,2.9,960,0,0,0,0,0.676666667
2,0.75,3.94,2160,0,0,0,0,0.593055556
2,0.8,2.9,960,0,0,0,0,0.540729167
1,0.65,23.69,7200,0,0,0,0,0.52118
2,0.7,4.15,1440,0,0,0,0,0.436326389
2,0.8,4.15,6600,0,0,0,0,0.988024691
2,0.75,2.9,5640,0,0,0,0,0.987880435
2,0.8,4.15,960,0,0,0,0,0.956270833
2,0.75,3.94,1560,0,0,0,0,0.945277778
2,0.8,3.94,960,0,0,0,0,0.902916667
1,0.8,28.08,6300,50,0,0,0,0.800725314
1,0.8,28.08,6540,50,0,0,0,0.800322936
1,0.8,26.16,7080,50,0,0,0,0.800318644
1,0.8,26.16,7080,63,0,0,0,0.800318644
1,0.8,11.61,7080,50,0,0,0,0.800237288
1,0.8,11.61,7080,50,0,0,0,0.800148649
1,0.8,25.9,6720,50,0,0,0,0.800125
1,0.8,25.9,6720,38,0,0,0,0.800125
1,0.75,19.31,6480,56,0,0,0,0.787299691
2,0.8,4.15,960,0,0,0,0,0.782447917
1,0.75,19.87,6600,45,0,0,0,0.75024303
2,0.7,4.15,960,0,0,0,0,0.7018125
1,0.7,23.69,13800,0,0,0,0,0.700134038
1,0.7,28.08,6900,40,0,0,0,0.699965217
2,0.8,2.9,960,0,0,0,0,0.628333333
2,0.8,3.94,960,0,0,0,0,0.6253125
2,0.75,4.15,1560,0,0,0,0,0.991388889
2,0.8,3.94,960,0,0,0,0,0.931645833
2,0.8,3.94,960,0,0,0,0,0.915229167
1,0.8,11.61,6975,50,0,0,0,0.879714482
2,0.8,3.94,6600,0,0,0,0,0.861679012
1,0.8,26.16,7080,60,0,0,0,0.850569492
1,0.8,25.9,7020,60,0,0,0,0.850436438
1,0.8,25.9,6780,45,0,0,0,0.850345133
1,0.8,28.08,4260,50,0,0,0,0.800598058
1,0.8,26.16,7080,63,0,0,0,0.800318644
1,0.8,28.08,6660,50,0,0,0,0.800237838
1,0.8,11.61,6975,50,0,0,0,0.800030199
2,0.8,3.94,960,0,0,0,0,0.792104167
2,0.7,3.94,4320,0,0,0,0,0.759228395
1,0.75,19.31,6480,45,0,0,0,0.750348457
1,0.75,19.87,6600,45,0,0,0,0.75024303
1,0.7,28.08,6900,40,0,0,0,0.699965217
2,0.8,2.9,960,0,0,0,0,0.682708333
2,0.8,2.9,960,0,0,0,0,0.667604167
1,0.7,45.67,6960,26,0,0,0,0.603432184
2,0.75,4.15,960,0,0,0,0,0.345833333
2,0.8,3.94,1920,0,0,0,0,0.961059028
2,0.8,3.94,2400,0,0,0,0,0.939513889
2,0.8,3.94,3840,0,0,0,0,0.893663194
2,0.75,4.15,1920,0,0,0,0,0.875390625
1,0.8,26.16,7080,75,0,0,0,0.850569492
2,0.8,2.9,1920,0,0,0,0,0.820833333
2,0.8,3.94,960,0,0,0,0,0.804416667
1,0.8,25.9,6780,50,0,0,0,0.800684366
1,0.8,25.9,6780,38,0,0,0,0.800684366
1,0.8,26.16,7080,63,0,0,0,0.800318644
1,0.8,19.31,4800,50,0,0,0,0.800250962
