Classifier,Accuracy,AUC,F-Measure,Sensitivity,Specificity
DT,0.8936,0.9092,0.8936,0.8936,0.9248
GB,0.6581,0.6511,0.6170,0.6581,0.6442
KNN,0.8757,0.8911,0.8754,0.8757,0.9066
LR,0.5443,0.5465,0.4642,0.5443,0.5488
MLP,0.7412,0.7622,0.7329,0.7412,0.7832
RF,0.8949,0.9092,0.8950,0.8949,0.9234
SVM,0.4641,0.5257,0.4080,0.4641,0.5872
XGB,0.6704,0.6799,0.6475,0.6704,0.6894
AVG,0.7178,0.7344,0.6917,0.7178,0.7510
,,,,,
DT,0.9365,0.9445,0.9365,0.9365,0.9524
GB,0.7674,0.7399,0.7444,0.7674,0.7125
KNN,0.9143,0.9236,0.9142,0.9143,0.9328
LR,0.6060,0.5781,0.5372,0.6060,0.5501
MLP,0.8548,0.8594,0.8520,0.8548,0.8639
RF,0.9367,0.9438,0.9367,0.9367,0.9510
SVM,0.4818,0.5553,0.4381,0.4818,0.6289
XGB,0.7765,0.7717,0.7679,0.7765,0.7668
AVG,0.7843,0.7895,0.7659,0.7843,0.7948
