 ROA(C) before interest and depreciation before interest, ROA(A) before interest and % after tax, ROA(B) before interest and depreciation after tax, Operating Gross Margin, Realized Sales Gross Margin, Operating Profit Rate, Pre-tax net Interest Rate, After-tax net Interest Rate, Non-industry income and expenditure/revenue, Continuous interest rate (after tax), Operating Expense Rate, Research and development expense rate, Cash flow rate, Interest-bearing debt interest rate, Tax rate (A), Net Value Per Share (B), Net Value Per Share (A), Net Value Per Share (C), Persistent EPS in the Last Four Seasons, Cash Flow Per Share, Revenue Per Share (Yuan ¥), Operating Profit Per Share (Yuan ¥), Per Share Net profit before tax (Yuan ¥), Realized Sales Gross Profit Growth Rate, Operating Profit Growth Rate, After-tax Net Profit Growth Rate, Regular Net Profit Growth Rate, Continuous Net Profit Growth Rate, Total Asset Growth Rate, Net Value Growth Rate, Total Asset Return Growth Rate Ratio, Cash Reinvestment %, Current Ratio, Quick Ratio, Interest Expense Ratio, Total debt/Total net worth, Debt ratio %, Net worth/Assets, Long-term fund suitability ratio (A), Borrowing dependency, Contingent liabilities/Net worth, Operating profit/Paid-in capital, Net profit before tax/Paid-in capital, Inventory and accounts receivable/Net value, Total Asset Turnover, Accounts Receivable Turnover, Average Collection Days, Inventory Turnover Rate (times), Fixed Assets Turnover Frequency, Net Worth Turnover Rate (times), Revenue per person, Operating profit per person, Allocation rate per person, Working Capital to Total Assets, Quick Assets/Total Assets, Current Assets/Total Assets, Cash/Total Assets, Quick Assets/Current Liability, Cash/Current Liability, Current Liability to Assets, Operating Funds to Liability, Inventory/Working Capital, Inventory/Current Liability, Current Liabilities/Liability, Working Capital/Equity, Current Liabilities/Equity, Long-term Liability to Current Assets, Retained Earnings to Total Assets, Total income/Total expense, Total expense/Assets, Current Asset Turnover Rate, Quick Asset Turnover Rate, Working capitcal Turnover Rate, Cash Turnover Rate, Cash Flow to Sales, Fixed Assets to Assets, Current Liability to Liability, Current Liability to Equity, Equity to Long-term Liability, Cash Flow to Total Assets, Cash Flow to Liability, CFO to Assets, Cash Flow to Equity, Current Liability to Current Assets, Liability-Assets Flag, Net Income to Total Assets, Total assets to GNP price, No-credit Interval, Gross Profit to Sales, Net Income to Stockholder's Equity, Liability to Equity, Degree of Financial Leverage (DFL), Interest Coverage Ratio (Interest expense to EBIT), Net Income Flag, Equity to Liability,Class
0.47194462,0.540667248,0.523636169,0.607518125,0.607518125,0.999033794,0.797471081,0.809381057,0.303531294,0.781645062,0.000158306,0.0,0.461291865,0.000352035,0.134730236,0.175087438,0.175087438,0.175087438,0.218209322,0.317287968,0.010405796,0.098770458,0.173307223,0.022100224,0.848089848,0.689423407,0.689423407,0.217596401,89700000.0,0.000453421,0.263991266,0.375693901,0.010020562,0.002553379,0.632549897,0.009587904,0.151585694,0.848414306,0.006371697,0.379066079,0.005365848,0.09872653,0.172355026,0.409573392,0.047976012,0.000568107,0.011117895,994000000.0,0.000288982,0.018387097,0.040189181,0.401743516,0.019825184,0.843108934,0.338862791,0.848127748,0.17566429,0.003839245,0.005886052,0.158234837,0.340371338,0.277750169,0.016308013,0.994458082,0.739743841,0.334724687,0.0,0.937401607,0.002345971,0.007583083,0.000829925,0.000333416,0.594144196,0.000450322,0.671632393,0.083963852,0.994458082,0.334724687,0.110933234,0.673257672,0.464376556,0.563210452,0.320354812,0.029128267,0,0.801097828,0.002293816,0.623033842,0.607519567,0.840528809,0.28173261,0.026791328,0.565159214,1,0.023960068,0
0.507093063,0.554186655,0.558702286,0.611971922,0.611986336,0.999131663,0.797542188,0.809430402,0.30345105,0.781743449,0.000132057,4640000000.0,0.472675574,0.000178018,0.192630833,0.20871434,0.20871434,0.20871434,0.228892881,0.324715286,0.018089145,0.109600195,0.180688409,0.022123628,0.848081402,0.689482875,0.689482875,0.217618584,6510000000.0,0.000463453,0.264084513,0.381664245,0.018241441,0.012794344,0.630960877,0.003995112,0.089820721,0.910179279,0.005377512,0.373599533,0.006104977,0.109596626,0.17951889,0.397669954,0.062968516,0.000764915,0.008264985,6650000000.0,8250000000.0,0.019032258,0.011297975,0.398374076,0.01732012,0.806480249,0.222044094,0.301239554,0.041259591,0.013054199,0.00688882,0.031373833,0.35184268,0.277191665,0.013740192,0.319406791,0.735241547,0.327370171,0.020702783,0.935812829,0.002392688,0.013273165,0.000191414,0.00014444,0.594008667,7170000000.0,0.671579574,0.384798549,0.319406791,0.327370171,0.119485152,0.648344844,0.460782706,0.597712526,0.31529304,0.016081116,0,0.808595,0.002987163,0.625407271,0.611966815,0.840883599,0.277676393,0.026885456,0.565571199,1,0.042552188,0
0.503924341,0.550425207,0.556935596,0.605788495,0.605788495,0.999047775,0.797458907,0.809369991,0.303480779,0.781631869,0.000116446,543000000.0,0.467265544,0.00010101,0.150116409,0.171126375,0.171126375,0.171126375,0.219060225,0.321284572,0.01527595,0.101376109,0.174662951,0.022306312,0.84848247,0.690244355,0.690244355,0.21768245,7010000000.0,0.000493273,0.264355705,0.381962296,0.01763801,0.007176037,0.630718757,0.002749432,0.068234725,0.931765275,0.005421617,0.370828235,0.005365848,0.101161105,0.17313174,0.40204013,0.109445277,0.001071287,0.005900511,3750000000.0,0.000170968,0.02516129,0.006568453,0.393840031,0.00501978,0.850726253,0.237185299,0.554280343,0.073487935,0.00732272,0.006519428,0.059467957,0.35489038,0.277422439,0.026975027,0.803570434,0.737311151,0.328222127,0.002322811,0.935009379,0.002339135,0.01719409,0.000206342,8710000000.0,0.594013751,7520000000.0,0.671592634,0.325681797,0.803570434,0.328222127,0.112516023,0.668632598,0.468561088,0.597064759,0.317691415,0.016632071,0,0.806938524,0.001287229,0.624202755,0.605784646,0.840704192,0.276772851,0.026810595,0.56524941,1,0.056514389,0
0.451274801,0.498528129,0.503346004,0.598437568,0.598437568,0.998972207,0.797279618,0.809214405,0.30332585,0.781515097,7420000000.0,1340000000.0,0.461125789,0.00039904,0.0,0.159369601,0.159369601,0.159369601,0.207336674,0.317005022,0.032518112,0.096979073,0.158168261,0.022141059,0.850030629,0.686811967,0.686811967,0.217591835,5450000000.0,0.000395801,0.263510269,0.374855631,0.004232748,0.002880271,0.62968521,0.013466291,0.176557729,0.823442271,0.006311658,0.381590219,0.007085405,0.096943345,0.157197798,0.402914969,0.149925037,0.001093606,0.005782672,0.000273808,0.000900989,0.047096774,0.014834834,0.392505823,0.001926977,0.713068403,0.290048284,0.356471009,0.009048965,0.003390769,0.000313437,0.153054987,0.340004796,0.276686379,0.002531113,0.826521845,0.728100289,0.336150045,0.005667575,0.923341426,0.002117835,0.036952382,797000000.0,6810000000.0,0.59389003,612000000.0,0.671571323,0.083764459,0.826521845,0.336150045,0.115667231,0.641066526,0.45900432,0.560915353,0.31413758,0.066675518,0,0.771690697,0.008025912,0.623244344,0.598435919,0.837266803,0.284544974,0.026558652,0.563737042,1,0.020045779,0
0.533417833,0.613606629,0.596445206,0.613939376,0.612743049,0.999142408,0.797526694,0.809451624,0.30340126,0.781720431,0.000133445,5450000000.0,0.468213348,0.00019602,0.0,0.185495765,0.185495765,0.185495765,0.246478207,0.331010823,0.046054721,0.134191027,0.194245688,0.02213793,0.848068767,0.689415126,0.689415126,0.21759519,9600000000.0,0.000500285,0.263999814,0.392803919,0.013527571,0.008082477,0.630651292,0.007475903,0.133113644,0.866886356,0.005678207,0.371201768,0.005365848,0.134211083,0.193296132,0.407285145,0.203898051,0.001087519,0.005820244,6000000000.0,0.000671014,0.046612903,0.024752141,0.406933357,0.006543185,0.870384843,0.510412716,0.790766671,0.214951177,0.008433946,0.010342995,0.11004339,0.356751083,0.277320156,0.013500427,0.782033577,0.740913389,0.331456381,0.003078327,0.945087004,0.002407916,0.039764548,0.000176133,0.000114787,0.593986628,0.00013369,0.671574382,0.185453629,0.782033577,0.331456381,0.115088702,0.647265519,0.4601019,0.634184976,0.315301121,0.021665109,0,0.837381636,0.000646177,0.623888086,0.613937349,0.843529195,0.280201149,0.026803857,0.565218234,1,0.027768954,0
0.499585629,0.563781073,0.548583971,0.615921244,0.615921244,0.99905829,0.797479796,0.809387828,0.303495764,0.78164815,0.000268624,5380000000.0,0.462095401,0.000208021,0.139184128,0.183599511,0.183599511,0.183599511,0.233052851,0.320011318,0.049820772,0.117905708,0.187994276,0.022106403,0.848031711,0.689416136,0.689416136,0.217594364,6390000000.0,0.000478525,0.263984272,0.376532171,0.00922306,0.008733142,0.630937247,0.014482167,0.181757717,0.818242283,0.00526016,0.377674839,0.005365848,0.117853014,0.186878818,0.405456424,0.136431784,0.000626947,0.010090642,0.000339728,0.000260235,0.049677419,0.010008372,0.395185545,0.005001584,0.815792823,0.668674138,0.684462774,0.092255144,0.008756742,0.003527537,0.138604239,0.342206178,0.277066967,0.001559046,0.725869491,0.738869366,0.335614706,0.00647968,0.937464847,0.002299251,0.044996614,0.000195328,0.00019665,0.593964383,7280000000.0,0.671573625,0.276133054,0.725869491,0.335614706,0.121689565,0.645104125,0.459581025,0.573695572,0.315089206,0.031592266,0,0.81420574,0.003803613,0.623876084,0.615920028,0.842221715,0.285282078,0.026869782,0.565507337,1,0.019363373,0
0.450641057,0.505778456,0.498581295,0.602862538,0.602862538,0.998986304,0.797339104,0.809262968,0.303400293,0.781514536,0.000131132,73200000.0,0.465166956,0.000239024,0.0,0.176098774,0.176098774,0.176098774,0.202798525,0.323123718,0.052361722,0.101457536,0.162386081,0.022093618,0.848026558,0.689638685,0.689638685,0.217620263,4930000000.0,0.000413469,0.265194147,0.385240863,0.012248324,0.009621491,0.630392734,0.007274369,0.1311183,0.8688817,0.007072251,0.371230845,0.005531588,0.100916834,0.161918407,0.402496976,0.214392804,0.001036795,0.006096056,0.000139674,0.001571246,0.052096774,0.028785453,0.394405373,0.0023121,0.841407487,0.529850653,0.653311957,0.113356969,0.009617026,0.005980473,0.100323166,0.348902846,0.277194687,0.007146674,0.722646487,0.738655758,0.330932342,0.00383562,0.925729181,0.002176593,0.054566713,0.00010095,8500000000.0,0.593954606,5170000000.0,0.671575574,0.076847316,0.722646487,0.330932342,0.115167089,0.652225558,0.461074764,0.599728405,0.316122657,0.023903662,0,0.778903888,0.012381741,0.623917896,0.602862335,0.83862258,0.280054445,0.026717597,0.564781404,1,0.02824778,0
0.582703651,0.645061055,0.635044703,0.605255192,0.605255192,0.999032176,0.797497919,0.809409831,0.303581567,0.781675799,0.000123615,0.000109512,0.466668344,0.0,0.072679421,0.183388816,0.183388816,0.183388816,0.245060036,0.329242414,0.061784412,0.115788617,0.206899149,0.022302977,0.848468636,0.691124164,0.691124164,0.217792454,0.000163252,0.000815185,0.266385373,0.391499944,0.014512903,0.013877331,0.630612252,0.004834988,0.102216041,0.897783959,0.006050842,0.369637181,0.005365848,0.115809273,0.195203982,0.401824435,0.397301349,0.001515628,0.004174761,0.001172997,0.001475171,0.077096774,0.034281686,0.40011533,0.004122715,0.882977879,0.823367761,0.828853129,0.46749661,0.013940396,0.0229992,0.107620231,0.356370249,0.277016327,0.00183164,0.990814383,0.740287939,0.330522607,0.0,0.949841022,0.002433183,0.040872631,0.000106253,0.000111286,0.593962776,0.000176127,0.671605303,0.139280807,0.990814383,0.330522607,0.110933234,0.756272066,0.48716901,0.617257736,0.330741602,0.020204412,0,0.84458293,0.000164479,0.62407377,0.605254734,0.843488848,0.278285284,0.026791157,0.565158396,1,0.037091679,0
0.516452981,0.572939381,0.561753841,0.600304127,0.600037475,0.999025359,0.797479105,0.809377802,0.303562956,0.781635799,4660000000.0,3070000000.0,0.464806287,0.000346035,0.240611398,0.301588639,0.301588639,0.301588639,0.265008982,0.334865955,0.158824508,0.143229379,0.226632522,0.022068444,0.848016924,0.689400439,0.689400439,0.217591483,6350000000.0,0.000466747,0.264007584,0.379447487,0.012668915,0.009541639,0.630857796,0.007749478,0.135774103,0.864225897,0.006501146,0.372916215,0.006461441,0.143175859,0.22570696,0.406143701,0.20089955,0.000831871,0.007606621,0.000153814,0.000943353,0.051129032,0.095292511,0.412518939,0.012834799,0.841998834,0.513305412,0.636988781,0.12665346,0.009881344,0.007080603,0.094648109,0.347461291,0.277192559,0.007548479,0.657848017,0.738894726,0.330793163,0.007207014,0.946189661,0.002570487,0.011813743,0.000118132,9830000000.0,0.593962018,6800000000.0,0.671555809,0.10948035,0.657848017,0.330793163,0.118914882,0.603192064,0.451834902,0.594586663,0.307722117,0.023119794,0,0.819507099,0.029006252,0.624636118,0.600300835,0.842056469,0.280398975,0.026852101,0.565433146,1,0.027162182,0
0.543021499,0.600959442,0.586808716,0.605356088,0.605341674,0.999100003,0.797543433,0.809430532,0.30351945,0.781691659,5710000000.0,1550000000.0,0.470073727,0.00030403,0.197692074,0.241667018,0.241667018,0.241667018,0.256216318,0.337624673,0.073717803,0.143066526,0.214280334,0.022117829,0.848056956,0.689472805,0.689472805,0.217600994,711000000.0,0.000505551,0.264174651,0.386116389,0.014499799,0.010783706,0.630715333,0.003417868,0.080357953,0.919642047,0.005743307,0.371280053,0.005365848,0.143037439,0.212344469,0.403257938,0.197901049,0.000754771,0.008379409,0.000143305,0.00050534,0.040483871,0.044475126,0.412598087,0.011667515,0.856188843,0.520706198,0.660296717,0.093312617,0.011056434,0.005745215,0.0858968,0.366636309,0.27718439,0.009241625,0.996180887,0.737922448,0.329295811,0.0,0.946450038,0.002684988,0.01452415,0.000131216,0.00010644,0.593972668,5310000000.0,0.671580755,0.201197762,0.996180887,0.329295811,0.110933234,0.662162298,0.465229942,0.633789263,0.317034953,0.020222054,0,0.834650289,0.009102522,0.624461313,0.605353644,0.842508512,0.277257664,0.026817382,0.565280413,1,0.047805102,0
