ID,Year,Month,Dengue Cases,MaxT,MinT,Rainfall
Brahmanbaria,2019,1,0,25.9302,12.7539,0
Brahmanbaria,2019,2,0,27.3058,15.189,3.4104
Brahmanbaria,2019,3,0,30.0091,19.1103,2.42921
Brahmanbaria,2019,4,0,32.4389,22.2457,4.82538
Brahmanbaria,2019,5,0,33.5281,24.6049,8.68534
Brahmanbaria,2019,6,0,32.8922,25.9594,16.5208
Brahmanbaria,2019,7,6,32.2809,26.4552,14.3406
Brahmanbaria,2019,8,351,33.5921,26.7423,7.81138
Brahmanbaria,2019,9,72,33.1166,26.1057,8.73083
Brahmanbaria,2019,10,8,31.4908,24.162,2.61703
Brahmanbaria,2019,11,0,29.4293,20.0315,2.32052
Brahmanbaria,2019,12,0,24.2173,13.9539,0.292204
Brahmanbaria,2020,1,0,23.1169,12.9883,1.07561
Brahmanbaria,2020,2,0,26.6594,14.1035,0.172414
Brahmanbaria,2020,3,0,31.2336,18.6953,0.483871
Brahmanbaria,2020,4,0,32.3112,21.5915,3.94241
Brahmanbaria,2020,5,0,32.565,24.116,8.3871
Brahmanbaria,2020,6,0,32.64,25.496,13.6088
Brahmanbaria,2020,7,0,32.035,25.9496,11.9577
Brahmanbaria,2020,8,0,33.0131,26.209,7.5892
Brahmanbaria,2020,9,0,32.8284,26.117,5.61667
Brahmanbaria,2020,10,0,32.8729,25.1489,6.87172
Brahmanbaria,2020,11,0,30.0696,18.9185,0
Brahmanbaria,2020,12,0,25.6616,14.1707,0.032466
Brahmanbaria,2021,1,0,24.7632,12.769,0.00682268
Brahmanbaria,2021,2,0,28.5006,14.5261,0.10497
Brahmanbaria,2021,3,0,33.0324,20.5546,1.21464
Brahmanbaria,2021,4,0,34.9266,23.1695,1.03251
Brahmanbaria,2021,5,0,34.3285,24.508,6.05473
Brahmanbaria,2021,6,0,32.4341,25.5568,13.6812
Brahmanbaria,2021,7,0,32.4,26.2968,9.35121
Brahmanbaria,2021,8,0,32.5745,26.1641,10.3501
Brahmanbaria,2021,9,0,33.8181,25.8109,8.87073
Brahmanbaria,2021,10,0,33.0882,24.9208,4.56457
Brahmanbaria,2021,11,0,29.4286,18.3248,0.0731108
Brahmanbaria,2021,12,0,26.1292,15.2081,2.29614
Bandarban,2019,1,0,27.1767,12.5384,0
Bandarban,2019,2,0,28.7865,15.2885,1.12052
Bandarban,2019,3,0,31.9892,18.943,0.695097
Bandarban,2019,4,0,34.5857,22.8121,2.08507
Bandarban,2019,5,0,34.9644,25.3881,5.27739
Bandarban,2019,6,0,33.5733,25.4289,8.49907
Bandarban,2019,7,0,31.163,24.8915,36.2229
Bandarban,2019,8,41,32.7373,25.3437,10.1605
Bandarban,2019,9,52,32.6934,24.901,11.9227
Bandarban,2019,10,80,32.4591,23.9809,4.67017
Bandarban,2019,11,58,30.3151,20.0293,3.40222
Bandarban,2019,12,30,26.3465,14.2999,0.217312
Bandarban,2020,1,1,25.138,13.7883,1.59357
Bandarban,2020,2,0,27.4329,13.7694,0.275862
Bandarban,2020,3,0,32.8607,18.6548,0
Bandarban,2020,4,0,34.313,22.2248,4.36555
Bandarban,2020,5,0,33.785,24.331,15.7419
Bandarban,2020,6,0,32.547,25.2769,11.6338
Bandarban,2020,7,0,31.8423,25.1916,18.2989
Bandarban,2020,8,0,32.0288,25.2044,13.7952
Bandarban,2020,9,0,32.9255,25.4569,6.38788
Bandarban,2020,10,0,33.2423,25.2832,6.61019
Bandarban,2020,11,0,30.4644,18.7732,1.61207
Bandarban,2020,12,0,26.9144,14.8862,0
Bandarban,2021,1,0,27.397,13.7068,0.0531814
Bandarban,2021,2,0,29.265,14.341,0.0682585
Bandarban,2021,3,0,34.1545,20.2254,0.167611
Bandarban,2021,4,0,35.2029,23.5234,0.975215
Bandarban,2021,5,0,35.3779,24.6155,3.89787
Bandarban,2021,6,0,31.4029,24.7739,22.5118
Bandarban,2021,7,0,31.7996,25.0027,25.2286
Bandarban,2021,8,0,31.8084,25.0439,20.0757
Bandarban,2021,9,0,33.2948,25.0069,9.90809
Bandarban,2021,10,0,33.2357,24.5123,4.34613
Bandarban,2021,11,0,30.6773,19.3394,0.0317912
Bandarban,2021,12,0,27.1724,15.7118,2.34868
Bagerhat,2019,1,0,26.8518,12.3441,0
Bagerhat,2019,2,0,28.8262,15.6068,4.59756
Bagerhat,2019,3,0,31.8431,21.1128,1.73094
Bagerhat,2019,4,0,34.3896,24.0678,2.5289
Bagerhat,2019,5,0,35.8754,26.6174,2.95397
Bagerhat,2019,6,0,34.706,27.0351,5.61028
Bagerhat,2019,7,0,33.3836,26.8437,10.2761
Bagerhat,2019,8,168,32.8572,26.5303,10.1808
Bagerhat,2019,9,114,32.6145,26.0839,8.53876
Bagerhat,2019,10,34,31.9404,24.1955,5.66563
Bagerhat,2019,11,16,29.7613,20.1485,7.5195
Bagerhat,2019,12,8,25.0442,15.017,0.408428
Bagerhat,2020,1,0,24.3589,13.6082,1.26942
Bagerhat,2020,2,0,27.2587,14.6821,0.0344828
Bagerhat,2020,3,0,32.6097,20.252,0
Bagerhat,2020,4,0,34.3494,23.8217,4.55316
Bagerhat,2020,5,0,33.8264,25.1334,9.22581
Bagerhat,2020,6,0,33.0548,26.456,11.6511
Bagerhat,2020,7,0,32.9179,26.8712,9.54888
Bagerhat,2020,8,0,32.2547,26.8219,11.1393
Bagerhat,2020,9,0,33.1082,26.707,7.63258
Bagerhat,2020,10,0,32.7323,25.773,5.33699
Bagerhat,2020,11,0,30.3565,19.5187,0.0773331
Bagerhat,2020,12,0,26.0632,14.4952,0.000162791
Bagerhat,2021,1,0,26.1258,13.9852,0.0194276
Bagerhat,2021,2,0,29.5839,15.5558,0.00563132
Bagerhat,2021,3,0,34.5792,22.3269,0.00248397
Bagerhat,2021,4,0,36.2011,24.6351,0.0351926
Bagerhat,2021,5,0,34.7835,25.8856,4.52505
Bagerhat,2021,6,0,32.3272,26.0764,14.581
Bagerhat,2021,7,0,32.6147,26.7715,19.1345
Bagerhat,2021,8,0,32.6539,26.6743,8.07619
Bagerhat,2021,9,0,32.4348,25.8092,11.3878
Bagerhat,2021,10,0,32.9438,25.1839,7.27236
Bagerhat,2021,11,0,29.9028,19.1365,0.101191
Bagerhat,2021,12,0,25.9939,15.8533,2.2711
Bhola,2019,1,0,27.3742,11.4742,1.64027E-09
Bhola,2019,2,0,28.525,15.1714,2.53575
Bhola,2019,3,0,31.7484,20.6452,0.997123
Bhola,2019,4,0,33.92,23.85,2.07514
Bhola,2019,5,0,34.4839,26.5097,4.61284
Bhola,2019,6,0,33.98,26.7433,4.97414
Bhola,2019,7,1,31.8968,26.3806,13.7097
Bhola,2019,8,400,32.4258,26.5194,11.6189
Bhola,2019,9,191,32.16,26.0433,9.07038
Bhola,2019,10,127,32.0161,24.0677,2.48417
Bhola,2019,11,19,30.2367,19.8067,8.8334
Bhola,2019,12,4,25.6516,14.3129,0.58055
Bhola,2020,1,0,24.5783,13.0568,2.03561
Bhola,2020,2,0,27.8209,13.821,0.137931
Bhola,2020,3,0,32.2468,19.6026,0.0645161
Bhola,2020,4,0,32.9004,23.2021,9.03311
Bhola,2020,5,0,33.4886,25.0225,6.22581
Bhola,2020,6,0,32.3302,26.2262,12.11
Bhola,2020,7,0,32.4286,26.5184,12.6463
Bhola,2020,8,0,31.7388,26.5812,12.1032
Bhola,2020,9,0,32.9949,26.438,9.20381
Bhola,2020,10,0,32.9609,25.6744,11.4194
Bhola,2020,11,0,29.7144,19.2035,0.366636
Bhola,2020,12,0,26.445,13.8248,0
Bhola,2021,1,0,26.6329,13.0914,0.00034127
Bhola,2021,2,0,29.5172,14.8123,0.0370459
Bhola,2021,3,0,33.8178,21.8245,0.0134532
Bhola,2021,4,0,35.115,24.3856,0.0327541
Bhola,2021,5,0,34.3822,25.5765,5.51063
Bhola,2021,6,0,31.8827,25.7085,21.0928
Bhola,2021,7,0,32.1019,26.3478,12.0339
Bhola,2021,8,0,32.6779,26.5026,10.6458
Bhola,2021,9,0,32.8373,26.1138,6.5646
Bhola,2021,10,0,33.4954,25.2161,7.37747
Bhola,2021,11,0,30.274,18.6967,0.0690465
Bhola,2021,12,0,26.6742,15.1276,2.1256
Bogura,2019,1,0,26.6806,12.5871,0
Bogura,2019,2,0,27.7357,15.4393,0.935717
Bogura,2019,3,0,31.1484,19.1968,1.00323
Bogura,2019,4,0,32.5133,23.1033,1.25008
Bogura,2019,5,0,33.7839,25.2935,6.41936
Bogura,2019,6,0,33.6033,26.2267,11.9065
Bogura,2019,7,20,32.7387,26.7613,16.7453
Bogura,2019,8,719,33.9323,27.6258,4.26131
Bogura,2019,9,178,32.3767,26.4933,5.77334
Bogura,2019,10,32,31.5355,23.6032,5.58066
Bogura,2019,11,16,30.74,19.82,0.0666635
Bogura,2019,12,3,24.8387,13.6194,0
Bogura,2020,1,0,23.5785,12.8064,0.454831
Bogura,2020,2,0,26.7842,14.3775,0.0344828
Bogura,2020,3,0,30.7094,19.5566,1.51613
Bogura,2020,4,0,32.2616,22.229,3.50657
Bogura,2020,5,0,32.075,23.9119,42.5484
Bogura,2020,6,0,33.3877,26.6067,14.0435
Bogura,2020,7,0,32.4107,27.0554,15.555
Bogura,2020,8,0,33.6503,27.4776,5.35387
Bogura,2020,9,0,32.6757,26.9502,10.7667
Bogura,2020,10,0,32.9642,25.5724,5
Bogura,2020,11,0,30.5735,18.6192,3.91106E-12
Bogura,2020,12,0,24.8062,13.9725,0
Bogura,2021,1,0,23.7782,12.3679,0.000354424
Bogura,2021,2,0,29.0803,15.0575,0.000305746
Bogura,2021,3,0,32.7288,21.2359,0.19584
Bogura,2021,4,0,34.9682,23.9027,0.816386
Bogura,2021,5,0,33.3104,24.4291,9.52779
Bogura,2021,6,0,32.6843,25.8846,13.4591
Bogura,2021,7,0,33.1141,26.9073,6.98627
Bogura,2021,8,0,32.8807,26.5196,13.1653
Bogura,2021,9,0,33.6834,26.3572,3.83054
Bogura,2021,10,0,33.2587,24.8486,2.88942
Bogura,2021,11,0,30.0705,18.0388,0.00132864
Bogura,2021,12,0,26.7548,15.3062,0.0376967
Barguna,2019,1,0,27.7561,11.6229,0
Barguna,2019,2,0,29.6898,15.3082,2.59366
Barguna,2019,3,0,32.5772,20.5567,1.56858
Barguna,2019,4,0,34.2733,23.9723,3.08204
Barguna,2019,5,0,34.6555,26.3657,6.86593
Barguna,2019,6,0,33.7149,26.5403,15.1564
Barguna,2019,7,0,31.9803,26.4652,19.3702
Barguna,2019,8,328,32.3388,26.2089,18.064
Barguna,2019,9,165,31.9735,25.8772,9.01727
Barguna,2019,10,67,32.045,23.9597,10.0152
Barguna,2019,11,29,30.1387,19.917,7.17078
Barguna,2019,12,5,26.4121,14.4817,0.180859
Barguna,2020,1,0,25.329,13.5547,1.9852
Barguna,2020,2,0,28.1908,14.4601,0.275862
Barguna,2020,3,0,32.8786,20.2581,2.77419
Barguna,2020,4,0,33.4798,23.8077,4.265
Barguna,2020,5,0,33.9418,25.3277,5.41935
Barguna,2020,6,0,32.5323,26.0864,22.2056
Barguna,2020,7,0,32.6284,26.7398,15.3838
Barguna,2020,8,0,31.7396,26.5559,19.4212
Barguna,2020,9,0,32.9336,28.5089,11.9231
Barguna,2020,10,0,32.5828,25.623,17.0923
Barguna,2020,11,0,30.3603,19.5952,7.14244
Barguna,2020,12,0,26.9216,14.4007,0
Barguna,2021,1,0,27.5783,13.8643,0.208858
Barguna,2021,2,0,30.0513,15.2978,0.0803569
Barguna,2021,3,0,34.4129,22.2301,0.521819
Barguna,2021,4,0,35.6493,24.3426,0.0850828
Barguna,2021,5,0,34.8753,25.8499,4.80079
Barguna,2021,6,0,32.0759,25.9127,17.0495
Barguna,2021,7,0,31.9486,26.2857,26.8881
Barguna,2021,8,0,32.0166,26.4262,13.1564
Barguna,2021,9,0,31.8522,25.9972,11.5825
Barguna,2021,10,0,32.2965,25.192,8.55797
Barguna,2021,11,0,30.2373,19.6114,0.0570952
Barguna,2021,12,0,26.7338,15.8843,1.68609
Barishal,2019,1,0,27.0548,10.671,0
Barishal,2019,2,0,28.7321,14.4357,2.78564
Barishal,2019,3,0,31.9677,19.9871,0.970868
Barishal,2019,4,0,33.7867,23.4333,2.79916
Barishal,2019,5,0,34.8839,26.2677,4.70973
Barishal,2019,6,0,34.04,26.7133,5.13962
Barishal,2019,7,16,32.3226,26.4129,14.4193
Barishal,2019,8,2163,32.7032,26.4452,8.32925
Barishal,2019,9,798,32.3067,25.9033,8.27524
Barishal,2019,10,405,32.1677,23.7194,5.67727
Barishal,2019,11,150,30.29,19.3233,12.1666
Barishal,2019,12,30,25.8258,13.5806,0.419392
Barishal,2020,1,3,24.791,12.5102,1.74504
Barishal,2020,2,0,27.8969,13.1781,0.0689655
Barishal,2020,3,0,32.5544,19.0254,0.225806
Barishal,2020,4,0,33.6416,22.9006,5.94337
Barishal,2020,5,0,33.6245,24.7936,13.871
Barishal,2020,6,0,32.6665,26.2704,11.8068
Barishal,2020,7,0,32.6451,26.5073,10.04
Barishal,2020,8,0,32.1811,26.8156,13.7805
Barishal,2020,9,0,33.1148,26.3346,13.5798
Barishal,2020,10,0,32.7833,25.4832,9.16784
Barishal,2020,11,0,30.5806,18.6322,0.0100322
Barishal,2020,12,0,26.7068,13.3684,0
Barishal,2021,1,0,26.6004,12.6921,0.00291396
Barishal,2021,2,0,29.5832,14.4124,0.0356558
Barishal,2021,3,0,34.0631,21.3905,0.0252033
Barishal,2021,4,0,35.3615,24.1218,0.00329509
Barishal,2021,5,0,34.7969,25.5303,4.11704
Barishal,2021,6,0,32.2677,25.8284,11.5141
Barishal,2021,7,0,32.6122,26.3973,10.8513
Barishal,2021,8,0,32.5304,26.4194,9.25332
Barishal,2021,9,0,32.7623,25.9524,8.12991
Barishal,2021,10,0,33.4206,24.9318,8.9196
Barishal,2021,11,0,30.3426,17.9984,0.00557399
Barishal,2021,12,0,26.7697,14.725,2.21494
Chuadanga,2019,1,0,25.8338,9.6475,0
Chuadanga,2019,2,0,28.1338,13.0107,3.04885
Chuadanga,2019,3,0,32.3853,18.6478,0.60461
Chuadanga,2019,4,0,34.5732,22.98,2.70506
Chuadanga,2019,5,0,36.0291,26.065,7.04514
Chuadanga,2019,6,0,35.2643,26.6819,5.18065
Chuadanga,2019,7,2,34.1094,26.6825,5.46599
Chuadanga,2019,8,96,33.5956,26.6227,4.15681
Chuadanga,2019,9,29,32.9222,25.9819,8.3467
Chuadanga,2019,10,19,31.7661,22.9617,4.76697
Chuadanga,2019,11,8,29.8808,18.0127,0.942754
Chuadanga,2019,12,2,24.4304,12.4312,0.0971209
Chuadanga,2020,1,0,23.4996,11.1616,0.554161
Chuadanga,2020,2,0,26.4673,12.1173,0.0689655
Chuadanga,2020,3,0,31.9617,18.0522,1.77419
Chuadanga,2020,4,0,34.4814,21.9949,2.24876
Chuadanga,2020,5,0,33.4731,23.9714,21.5484
Chuadanga,2020,6,0,34.1218,26.1781,10.433
Chuadanga,2020,7,0,33.8036,26.6398,15.2925
Chuadanga,2020,8,0,33.5288,27.0254,5.25259
Chuadanga,2020,9,0,33.8991,26.5389,7.37274
Chuadanga,2020,10,0,33.3904,25.1324,2.90083
Chuadanga,2020,11,0,30.0726,17.4308,0.06026
Chuadanga,2020,12,0,25.0215,12.5865,0
Chuadanga,2021,1,0,23.9504,11.4702,0.00145397
Chuadanga,2021,2,0,28.8593,12.8699,0.00040787
Chuadanga,2021,3,0,34.4732,19.5164,0.393996
Chuadanga,2021,4,0,36.6896,23.2898,0.119431
Chuadanga,2021,5,0,34.6631,24.5423,6.59193
Chuadanga,2021,6,0,33.1742,25.8188,10.429
Chuadanga,2021,7,0,33.4035,26.3242,9.66168
Chuadanga,2021,8,0,33.7204,26.5071,15.1505
Chuadanga,2021,9,0,33.3599,26.0196,4.7541
Chuadanga,2021,10,0,33.1684,24.4695,4.05416
