ctrust,cFrust,last,context,score
D,A,D,sport,F
D,A,D,sport,F
A,D,D,sport,T
B,A,D,sport,T
C,A,D,sport,T
D,A,D,sport,F
A,D,D,sport,T
B,A,D,sport,T
C,A,D,sport,T
D,A,D,sport,F
A,D,D,sport,T
B,A,D,sport,T
C,A,D,sport,T
D,A,D,sport,F
A,D,D,sport,T
A,D,D,sport,T
B,A,D,sport,T
C,A,D,sport,T
D,A,D,sport,F
A,C,D,sport,T
B,A,D,sport,T
C,A,D,sport,T
D,A,D,sport,F
A,C,D,sport,T
B,A,D,sport,T
C,A,D,sport,T
D,A,D,sport,F
A,C,D,sport,T
B,A,D,sport,T
C,A,D,sport,T
D,A,D,sport,F
A,C,D,sport,T
B,A,D,sport,T
C,A,D,sport,T
D,A,D,sport,F
A,C,D,sport,T
A,D,D,sport,T
B,A,D,sport,T
C,A,D,sport,T
D,A,D,sport,F
A,C,D,sport,T
B,A,D,sport,T
C,A,D,sport,T
D,A,D,sport,F
A,C,D,sport,T
A,D,D,sport,T
B,A,D,sport,T
C,A,D,sport,T
D,A,D,sport,F
A,C,D,sport,T
A,D,D,sport,T
B,A,D,sport,T
C,A,D,sport,T
D,A,D,sport,F
A,C,D,sport,T
A,D,D,sport,T
B,A,D,sport,T
C,A,D,sport,T
D,A,D,sport,F
A,C,D,sport,T
A,D,D,sport,T
B,A,D,sport,T
C,A,D,sport,T
D,A,D,sport,F
A,C,D,sport,T
B,A,D,sport,T
C,A,D,sport,T
D,A,D,sport,F
A,C,D,sport,T
B,A,D,sport,T
C,A,D,sport,T
D,A,D,sport,F
A,C,D,sport,T
A,D,D,sport,T
B,A,D,sport,T
C,A,D,sport,T
D,A,D,sport,F
A,C,D,sport,T
B,A,D,sport,T
C,A,D,sport,T
D,A,D,sport,F
A,C,D,sport,T
B,A,D,sport,T
C,A,D,sport,T
D,A,D,sport,F
A,C,D,sport,T
A,D,D,sport,T
B,A,D,sport,T
C,A,D,sport,T
D,A,D,sport,F
A,C,D,sport,T
A,D,D,sport,T
B,A,D,sport,T
C,A,D,sport,T
D,A,D,sport,F
A,C,D,sport,T
B,A,D,sport,T
C,A,D,sport,T
D,A,D,game,T
A,D,A,ECommerce,F
D,A,D,game,T
D,A,C,game,T
D,A,C,game,T
A,5,D,ECommerce,F
A,5,D,ECommerce,F
D,A,B,game,T
D,A,B,game,T
D,A,B,game,T
A,D,D,ECommerce,F
A,D,A,ECommerce,F
D,A,C,game,T
D,A,B,game,T
D,A,B,game,T
D,A,B,game,T
A,D,D,ECommerce,F
