 ,res_age_isrvy,education_cat,ethnicity,gender,household_head,household_size,house_type,marital_status,msa_status,cur_emplyment_status,glb_known_friend,political_party_cat,evangelical_or_born_again,religion,either_internet_adjusted,same_sex_couple,relationship_quality,coresident,same_school,growup_same_city,gender_attraction,same_college,US_raised,how_long_ago_first_met_cat,respondent_race,partner_race,met_through_friends,met_through_family,met_through_as_neighbors,met_through_as_coworkers,married,parental_approval,household_indollar,children_in_hh,distancemoved_10mi,how_long_ago_first_romantic,how_long_ago_first_cohab,how_long_relationship,age_difference,respondent_yrsed,partner_yrsed,partner_mom_yrsed,total_marriage,respondent_mom_yrsed,q8a,q8b,q9,q12,q13a,q13b,q16,q18a_1,q18a_2,q18a_3,q21a,q21b,q21c,q21d,q21e,q23,q30,q31_1,q31_2,q31_3,q31_4,q31_5,q31_6,q31_7,q31_8,q31_9,q31_other_text_entered,q33_1,q33_2,q33_3,q33_4,q33_5,q33_6,q33_7,q33_other_text_entered,q24_met_online,summary_q24_total,q24_R_cowork,q24_R_friend,q24_R_family,q24_R_sig_other,q24_R_neighbor,q24_P_cowork,q24_P_friend,q24_P_family,q24_P_sig_other,q24_P_neighbor,q24_btwn_I_cowork,q24_btwn_I_friend,q24_btwn_I_family,q24_btwn_I_sig_other,q24_btwn_I_neighbor,q24_school,q24_college,q24_military,q24_church,q24_vol_org,q24_customer,q24_bar_restaurant,q24_internet_dating,q24_internet_social_networking,q24_internet_game,q24_internet_chat,q24_internet_community,q24_internet_other,q24_public,q24_private_party,q24_blind_date,q24_vacation,q24_singles_service_non_internet,q24_business_trip,q24_work_neighbor,q24_fam_sister_active,q24_fam_brother_active,q24_fam_mother_active,q24_fam_father_active,q24_fam_other_active,q24_fam_cousins_active,q24_fam_aunt_niece_active,q24_fam_uncle_nephew_active,q24_fam_grandmother_active,q24_fam_grandfather_active,q24_fam_sister_passive,q24_fam_brother_passive,q24_fam_mother_passive,q24_fam_father_passive,q24_fam_other_passive,q24_fam_cousins_passive,q24_fam_aunt_niece_passive,q24_fam_uncle_nephew_passive,q24_fam_grandmother_passive,q24_fam_grandfather_passive,q24_fam_female,q24_fam_male,together_or_not
23286,28,4,1,2,1,2,3,6,1,1,3,3,2,5,0,1,4,1,2,2,3,1,1,3,1,1,1,0,1,0,1,0,45000,0,2510,8,6,8,2,17,16,16,1,20,2,11,30,2,2,5,0,1,0,0,19,20,22,23,26,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25495,49,2,2,2,1,4,3,5,1,1,3,3,1,1,,,,,,,,,,,2,,,,,,0,,37250,1,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
26315,31,3,1,1,1,1,3,5,1,1,3,3,2,12,1,1,4,0,2,2,5,,1,3,1,1,1,0,0,0,0,1,45000,0,1790,8,8,8,9,14,12,12,,16,2,13,40,2,1,,1,0,0,1,23,23,23,,,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27355,35,2,1,1,1,2,2,5,1,2,1,3,2,11,,,,,,,,,,,1,,,,,,0,,45000,0,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
27695,69,3,1,1,1,1,3,5,1,5,3,3,2,2,,,,,,,,,,,1,,,,,,0,,27250,0,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
28536,53,4,1,1,1,2,1,6,1,1,1,3,2,2,0,1,4,1,2,2,4,2,1,4,1,1,0,0,0,0,0,1,137250,0,60,12,12,12,2,16,17,13,,17,2,1,55,2,1,,1,0,0,1,41,41,41,,,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29584,58,4,1,1,1,1,3,4,1,1,3,3,2,2,0,0,4,0,2,2,4,2,1,6,1,1,0,0,0,1,1,1,17250,0,220,30,28,30,7,17,17,13,1,13,2,3,51,2,1,,0,,,,28,28,30,30,,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30393,39,2,1,1,1,1,3,3,1,1,1,3,2,3,,,,,,,,,,,1,,,,,,0,,27250,0,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
31456,45,3,1,1,1,4,1,6,1,1,1,3,2,12,1,1,5,1,2,2,5,2,1,2,1,1,0,0,0,0,0,1,80000,0,0,3,3,4,0,13,16,12,,12,1,,45,3,2,1,8,0,0,1,42,42,42,,,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33536,53,4,1,1,1,2,2,6,1,2,1,3,2,2,0,1,5,1,2,2,5,2,1,4,1,2,0,0,0,0,0,1,200000,0,1950,15,15,15,9,20,17,12,,16,1,,44,2,1,,0,0,0,1,38,38,38,,,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
